game_id,date,week,home_team,away_team,home_score,away_score
2023_01,2023-09-10,1,KC,DET,20,21
2023_02,2023-09-10,1,PHI,NE,25,20
2023_03,2023-09-17,2,DET,SEA,31,37
2023_04,2023-09-17,2,KC,JAX,17,9
2023_05,2023-09-24,3,KC,CHI,41,10
2023_06,2023-09-24,3,DET,ATL,20,6
2023_07,2023-10-01,4,KC,NYJ,23,20
2023_08,2023-10-01,4,DET,GB,34,20
2023_09,2023-10-08,5,KC,MIN,27,20
2023_10,2023-10-08,5,DET,CAR,42,24
